Ref,Val,Package,PosX,PosY,Rot,Side
"C1","12p","C_0201_0603Metric",12.225000,-5.683500,90.000000,top
"C2","12p","C_0201_0603Metric",14.800000,-6.328500,270.000000,top
"C3","820p","C_0201_0603Metric",9.800000,-5.598500,90.000000,top
"C4","100p","C_0201_0603Metric",11.770000,-6.878500,180.000000,top
"C5","100n","C_0201_0603Metric",16.100000,1.746500,90.000000,top
"C6","4.7u","C_0402_1005Metric",5.875000,1.741500,90.000000,top
"C7","1u","C_0402_1005Metric",10.980000,-6.053500,0.000000,top
"C9","1u","C_0402_1005Metric",16.145000,-3.528500,0.000000,top
"C10","100n","C_0201_0603Metric",5.625000,-0.078500,90.000000,top
"C11","100n","C_0201_0603Metric",9.980000,-6.878500,0.000000,top
"C12","100n","C_0201_0603Metric",5.475000,-6.403500,270.000000,top
"C14","4.7u","C_0402_1005Metric",5.875000,-2.153500,270.000000,top
"D1","LED_RGBA","RGB_LED_606",16.225000,-5.528500,90.000000,top
"D2","TPD4S012DRYR-dk_TVS-Diodes","UFDFN-6_1.45x1mm",14.575000,1.846500,0.000000,top
"FID1","Fiducial","Fiducial_0.5mm_Mask1mm",5.200000,-3.353500,0.000000,top
"FID2","Fiducial","Fiducial_0.5mm_Mask1mm",17.700000,-5.753500,0.000000,top
"R1","49R9","R_0201_0603Metric",10.975000,-5.253500,0.000000,top
"R2","180R","R_0201_0603Metric",17.450000,-3.858500,270.000000,top
"R3","1M","R_0201_0603Metric",16.850000,1.666500,90.000000,top
"R8","4.7k","R_0201_0603Metric",14.850000,-3.658500,270.000000,top
"R9","4.7k","R_0201_0603Metric",14.150000,-3.553500,270.000000,top
"U1","nRF52840","Nordic_AQFN-73-1EP_7x7mm_P0.5mm",9.925000,-1.028500,270.000000,top
"U3","quad_serial_flash","FLASH_2x3_USON8",7.525000,-6.028500,0.000000,top
"U5","SE050","UQFN-20-1EP_3x3mm_P0.4mm_EP1.85x1.85mm",15.850000,-1.028500,270.000000,top
"Y1","TAXM32M4ZFBCCT2T","Crystal-2mmx1.6mm",13.925000,-5.278500,270.000000,top
